Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
ACACIAS,"CALLE ",COMPLETO,0,NORTE,"4_4,4_6",2019
"ACIBELO VEGA",CALLE,COMPLETO,0,SUR,6_31,5172
ADELFAS,"CALLE ",COMPLETO,0,NORTE,4_6,1169
"AGUADA (LA)",LUGAR,COMPLETO,0,ERACIS,1_1,284
"AGUSTINA DE ARAGON","CALLE ",COMPLETO,0,NORTE,1_4,10
AL-ANDALUS,AVDA,COMPLETO,0,SUR,"6_9,6_10,6,13,6_29",3062
ALAMO,CALLE,COMPLETO,0,NORTE,4_4,5062
ALBARDONERO,CALLE,COMPLETO,0,NORTE,"3_7,4_2",1011
ALBENDA,CALLE,COMPLETO,0,SUR,"6_11,6_25",5084
ALBERCA,CALLE,COMPLETO,0,SUR,6_11,452
"ALBERTO AGUDO",CALLE,COMPLETO,0,SUR,6_17,5185
"ALBINA DEL PUENTE",CALLE,COMPLETO,0,NORTE,"1_7,1_8",12
"ALCALDE RODRIGUEZ VIAÑA",CALLE,COMPLETO,0,SUR,6_27,1197
"ALCAZAR DE SEGOVIA",CALLE,COMPLETO,0,NORTE,1_13,25
"ALCAZAR DE TOLEDO",CALLE,COMPLETO,0,NORTE,1_14,13
ALCUDIA,CALLE,COMPLETO,0,SUR,6_17,5173
"ALEGRIAS (DE LAS)","PLAZA ",COMPLETO,0,SUR,6_17,5190
"ALGARROBO (DEL)",CLLON,COMPLETO,0,NORTE,1_7,369
ALMERIA,PLAZA,COMPLETO,0,SUR,6_14,5230
"ALMIRANTE CERVERA",CALLE,COMPLETO,0,NORTE,"3_4,3_7,3_8,4_2 ",2020
"ALMIRANTE FAUSTINO RUIZ",CALLE,COMPLETO,0,CENTRO,"6_1,6_21",5052
"ALMIRANTE FERNANDEZ ALMEIDA",CALLE,COMPLETO,0,CENTRO,5_7,2028
"ALMIRANTE FRANCISCO MORENO","CALLE ",COMPLETO,0,CENTRO,6_3,17
"ALMIRANTE GARCIA DE LOMAS",CALLE,COMPLETO,0,SUR,6_9,1013
"ALMIRANTE J M PERY JUNQUERA",AVDA,COMPLETO,0,CENTRO,5_6,2021
"ALMIRANTE LEON HERRERO",AVDA,COMPLETO,0,CENTRO,"5_1,6_21",1224
ALONDRA,CALLE,COMPLETO,0,SUR,6_8,5211
"ALONSO DE ORTEGA",CALLE,COMPLETO,0,NORTE,1_5,5158
ALSEDO,CALLE,COMPLETO,0,CENTRO,6_5,3015
AMARGURA,CALLE,COMPLETO,0,CENTRO,"3_4,3_7,4_2,4_3",5072
"ANA MARIA MATUTE",CALLE,COMPLETO,0,NORTE,1_11,5221
"ANA RIVERO",CALLE,COMPLETO,0,NORTE,1_6,16
"ANDALUCIA (DE)",AVDA,COMPLETO,0,SUR,6_14,5227
ANGEL,CALLE,COMPLETO,0,NORTE,1_1,40
"ANGEL GARCIA LOPEZ",CALLE,COMPLETO,0,SUR,6_14,3084
ANGOSTO,CLLON,COMPLETO,0,SUR,6_24,5087
"ANTONIO DE LA CRUZ",CALLE,COMPLETO,0,SUR,6_19,3011
"ANTONIO DE ULLOA",CALLE,COMPLETO,0,CENTRO,5_7,5065
"ANTONIO LOPEZ",CALLE,COMPLETO,0,CENTRO,"4_1,4_5",2010
"ANTONIO QUIJANO GOMEZ",CALLE,COMPLETO,0,SUR,6_9,1028
"ANTONIO RODRIGUEZ CAMPOS",CALLE,COMPLETO,0,SUR,6_26,3012
ARANJUEZ,CALLE,COMPLETO,0,NORTE,1_4,31
ARAPILES,CALLE,COMPLETO,0,NORTE,1_13,46
ARAUCARIA,CALLE,COMPLETO,0,NORTE,4_4,1188
ARBOREA,CALLE,COMPLETO,0,SUR,6_26,5201
ARENAL,CALLE,COMPLETO,0,CENTRO,"4_1,5_2",1018
ARGENTINA,CALLE,COMPLETO,0,SUR,6_24,2501
ARGUELLES,CALLE,COMPLETO,0,SUR,6_28,2022
"ARMADA (DE LA)",CALLE,COMPLETO,0,NORTE,1_14,5141
"ARQUITECTO TORCUATO CAYON",CALLE,COMPLETO,0,CENTRO,5_7,1230
"ARRAYANES (LOS)",CALLE,COMPLETO,0,NORTE,"4_4,4_6",2037
"ARSENAL DE LA CARRACA",LUGAR,COMPLETO,0,NORTE,1_1,53
"ARTESANO JOSE M. SILVA",CALLE,COMPLETO,0,SUR,"6_7,6_30",5021
ASTEROIDES,CALLE,COMPLETO,0,SUR,6_26,260
ASTURIAS,CALLE,COMPLETO,0,CENTRO,5_6,3020
"AUGUSTO DE MIRANDA",CALLE,COMPLETO,0,NORTE,"2_1,3_2",1010
AURORA,CALLE,COMPLETO,0,NORTE,1_17,505
